Description,Price,Image1,Image2
Gold Kundan Red Drop Meena Earring Necklace Set,2250.00,'https://img.faballey.com/images/Product/ZNS00054/1.jpg','https://img.faballey.com/images/Product/ZNS00054/2.jpg'
Gold Kundan Green Drop Pearl Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00047/1.jpg','https://img.faballey.com/images/Product/ZNS00047/2.jpg'
Gold Green Kundan Floral Pendant Necklace Set,2100.00,'https://img.faballey.com/images/Product/ZNS00063/1.jpg','https://img.faballey.com/images/Product/ZNS00063/2.jpg'
Gold Kundan Dual Pearl Earring Necklace Set,2000.00,'https://img.faballey.com/images/Product/ZNS00052/1.jpg','https://img.faballey.com/images/Product/ZNS00052/2.jpg'
White Diamond Aqua Drop Earring Necklace Set,2450.00,'https://img.faballey.com/images/Product/ZNS00013/1.jpg','https://img.faballey.com/images/Product/ZNS00013/2.jpg'
Gold Leaf Kundan Double Pearl Earrings Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00045/1.jpg','https://img.faballey.com/images/Product/ZNS00045/2.jpg'
Gold Kundan Blue Bead Pearl Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00042/1.jpg','https://img.faballey.com/images/Product/ZNS00042/2.jpg'
White Diamond Floral Bunch Earring Necklace Set,2750.00,'https://img.faballey.com/images/Product/ZNS00032/1.jpg','https://img.faballey.com/images/Product/ZNS00032/2.jpg'
Gold Textured Contemporary Choker Necklace Set,1100.00,'https://img.faballey.com/images/Product/ZNS00070/1.jpg','https://img.faballey.com/images/Product/ZNS00070/2.jpg'
Silver Oxidized Green Stone Star Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00021/1.jpg','https://img.faballey.com/images/Product/ZNS00021/2.jpg'
Gold Kundan Green Drop Double Orb Earring Necklace Set,2250.00,'https://img.faballey.com/images/Product/ZNS00038/1.jpg','https://img.faballey.com/images/Product/ZNS00038/2.jpg'
Dual Gold Kundan Green Bead Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00055/1.jpg','https://img.faballey.com/images/Product/ZNS00055/2.jpg'
Gold Kundan Blue Bead Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00041/1.jpg','https://img.faballey.com/images/Product/ZNS00041/2.jpg'
Blue Bead Kundan Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00050/1.jpg','https://img.faballey.com/images/Product/ZNS00050/2.jpg'
Gold Kundan Mangtika Earring Necklace Set,3500.00,'https://img.faballey.com/images/Product/ZNS00002/1.jpg','https://img.faballey.com/images/Product/ZNS00002/2.jpg'
Gold Round Kundan Pearl Earring Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00035/1.jpg','https://img.faballey.com/images/Product/ZNS00035/2.jpg'
White Blue Diamond Drop String Earring Necklace Set,2875.00,'https://img.faballey.com/images/Product/ZNS00031/1.jpg','https://img.faballey.com/images/Product/ZNS00031/2.jpg'
Gold Kundan Pearl Earring Necklace Set,2375.00,'https://img.faballey.com/images/Product/ZNS00044/1.jpg','https://img.faballey.com/images/Product/ZNS00044/2.jpg'
Gold Kundan Tukdi Earring Necklace Set,2500.00,'https://img.faballey.com/images/Product/ZNS00007/1.jpg','https://img.faballey.com/images/Product/ZNS00007/2.jpg'
Gold Kundan Multi Pearl String Earring Necklace Set,2000.00,'https://img.faballey.com/images/Product/ZNS00048/1.jpg','https://img.faballey.com/images/Product/ZNS00048/2.jpg'
Gold Maroon Kundan Floral Necklace Set,2250.00,'https://img.faballey.com/images/Product/ZNS00058/1.jpg','https://img.faballey.com/images/Product/ZNS00058/2.jpg'
Rose Gold Plated  Crystal Necklace Set,2450.00,'https://img.faballey.com/images/Product/ZNS00064/1.jpg','https://img.faballey.com/images/Product/ZNS00064/2.jpg'
Gold Kundan Green Bead String Earring Necklace Set,2000.00,'https://img.faballey.com/images/Product/ZNS00049/1.jpg','https://img.faballey.com/images/Product/ZNS00049/2.jpg'
Gold Kundan Pear Dainty Drop Earrings  Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00046/1.jpg','https://img.faballey.com/images/Product/ZNS00046/2.jpg'
Gold Kundan Multicolor Stone Earring Necklace Set,2000.00,'https://img.faballey.com/images/Product/ZNS00053/1.jpg','https://img.faballey.com/images/Product/ZNS00053/2.jpg'
Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475.00,'https://img.faballey.com/images/Product/ZNS00062/1.jpg','https://img.faballey.com/images/Product/ZNS00062/2.jpg'
Gold Kundan Cascade Earring Necklace Set,2250.00,'https://img.faballey.com/images/Product/ZNS00039/1.jpg','https://img.faballey.com/images/Product/ZNS00039/2.jpg'
Gold Red Kundan Bead Earring Necklace Set,1600.00,'https://img.faballey.com/images/Product/ZNS00003/1.jpg','https://img.faballey.com/images/Product/ZNS00003/2.jpg'
Gold Orb Kundan Double Pearl Earrings Necklace Set,1750.00,'https://img.faballey.com/images/Product/ZNS00051/1.jpg','https://img.faballey.com/images/Product/ZNS00051/2.jpg'
Dual Gold Kundan Pearl Earring Necklace Set,2000.00,'https://img.faballey.com/images/Product/ZNS00056/1.jpg','https://img.faballey.com/images/Product/ZNS00056/2.jpg'
White Blue Diamond Earring Pendant Necklace Set,2625.00,'https://img.faballey.com/images/Product/ZNS00011/1.jpg','https://img.faballey.com/images/Product/ZNS00011/2.jpg'
Gold Green Kundan Bead Drop Earring Necklace Set,3750.00,'https://img.faballey.com/images/Product/ZNS00018/1.jpg','https://img.faballey.com/images/Product/ZNS00018/2.jpg'
Gold Kundan Earring Pearl String Pendant Necklace Set,1500.00,'https://img.faballey.com/images/Product/ZNS00008/1.jpg','https://img.faballey.com/images/Product/ZNS00008/2.jpg'
